,epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
79,23,2020-06-03,13,MG,Caparaó,3112109.0,city,1,18.389110000000002,0,0,0,0.0,5438.0,True,False
80,23,2020-06-03,26,MG,Capelinha,3112307.0,city,0,,0,0,0,0.0,37784.0,True,False
81,23,2020-06-03,7,MG,Capetinga,3112406.0,city,1,14.450870000000002,0,0,0,0.0,6920.0,True,False
82,23,2020-06-03,9,MG,Capim Branco,3112505.0,city,2,20.50441,0,0,0,0.0,9754.0,True,False
83,23,2020-06-03,30,MG,Capinópolis,3112604.0,city,4,24.73258,0,0,0,0.0,16173.0,True,False
84,23,2020-06-03,10,MG,Capitão Enéas,3112703.0,city,10,65.64264,1,0,0,0.0,15234.0,True,False
85,23,2020-06-03,64,MG,Capitólio,3112802.0,city,2,23.1696,0,1,0,0.5,8632.0,True,False
86,23,2020-06-03,4,MG,Caranaíba,3113107.0,city,2,62.8338,0,0,0,0.0,3183.0,True,False
87,23,2020-06-03,28,MG,Carandaí,3113206.0,city,6,23.528489999999998,0,0,0,0.0,25501.0,True,False
88,23,2020-06-03,57,MG,Carangola,3113305.0,city,89,269.69697,6,2,2,0.0225,33000.0,True,False
89,23,2020-06-03,32,MG,Caratinga,3113404.0,city,30,32.58674,1,0,0,0.0,92062.0,True,False
90,23,2020-06-03,9,MG,Carbonita,3113503.0,city,1,10.632639999999999,0,0,0,0.0,9405.0,True,False
91,23,2020-06-03,20,MG,Careaçu,3113602.0,city,1,14.799470000000001,0,0,0,0.0,6757.0,True,False
92,23,2020-06-03,46,MG,Carlos Chagas,3113701.0,city,1,5.3087,0,0,0,0.0,18837.0,True,False
93,23,2020-06-03,61,MG,Carmo da Cachoeira,3113909.0,city,1,8.21693,0,0,0,0.0,12170.0,True,False
94,23,2020-06-03,27,MG,Carmo da Mata,3114006.0,city,1,8.71384,0,0,0,0.0,11476.0,True,False
95,23,2020-06-03,1,MG,Carmo de Minas,3114105.0,city,1,6.72993,1,0,0,0.0,14859.0,True,False
96,23,2020-06-03,69,MG,Carmo do Cajuru,3114204.0,city,42,186.84936000000002,0,2,0,0.0476,22478.0,True,False
97,23,2020-06-03,22,MG,Carmo do Paranaíba,3114303.0,city,6,19.78305,0,0,0,0.0,30329.0,True,False
98,23,2020-06-03,6,MG,Carmo do Rio Claro,3114402.0,city,6,28.26855,0,0,0,0.0,21225.0,True,False
99,23,2020-06-03,29,MG,Carmópolis de Minas,3114501.0,city,13,67.16611,0,0,0,0.0,19355.0,True,False
100,23,2020-06-03,4,MG,Carrancas,3114600.0,city,1,24.70966,0,0,0,0.0,4047.0,True,False
101,23,2020-06-03,24,MG,Cascalho Rico,3115003.0,city,1,32.52033,0,0,0,0.0,3075.0,True,False
102,23,2020-06-03,51,MG,Cataguases,3115300.0,city,40,53.24601,3,2,0,0.05,75123.0,True,False
